Epoch,Loss_train
284,"(0.11358179152011871,)"
285,"(0.11349780857563019,)"
286,"(0.11341457813978195,)"
287,"(0.1133321076631546,)"
288,"(0.1132504865527153,)"
289,"(0.11316978931427002,)"
290,"(0.11308982968330383,)"
291,"(0.11301050335168839,)"
292,"(0.11293152719736099,)"
293,"(0.11285311728715897,)"
294,"(0.11277535557746887,)"
295,"(0.11269820481538773,)"
296,"(0.1126217246055603,)"
297,"(0.11254597455263138,)"
298,"(0.11247096210718155,)"
299,"(0.11239658296108246,)"
300,"(0.11232288926839828,)"
301,"(0.11224991828203201,)"
302,"(0.11217763274908066,)"
303,"(0.11210611462593079,)"
304,"(0.11203529685735703,)"
305,"(0.11196524649858475,)"
306,"(0.11189582198858261,)"
307,"(0.11182711273431778,)"
308,"(0.1117590144276619,)"
309,"(0.11169133335351944,)"
310,"(0.11162436753511429,)"
311,"(0.11155809462070465,)"
312,"(0.11149252951145172,)"
313,"(0.11142750829458237,)"
314,"(0.11136312782764435,)"
315,"(0.11129923164844513,)"
316,"(0.11123589426279068,)"
317,"(0.1111731082201004,)"
318,"(0.11111092567443848,)"
319,"(0.11104921251535416,)"
320,"(0.11098802089691162,)"
321,"(0.11092742532491684,)"
322,"(0.11086724698543549,)"
323,"(0.1108076423406601,)"
324,"(0.11074869334697723,)"
325,"(0.11069044470787048,)"
326,"(0.11063267290592194,)"
327,"(0.11057543009519577,)"
328,"(0.11051873862743378,)"
329,"(0.11046253144741058,)"
330,"(0.11040685325860977,)"
331,"(0.11035161465406418,)"
332,"(0.11029677838087082,)"
333,"(0.11024248600006104,)"
334,"(0.11018871515989304,)"
335,"(0.11013547331094742,)"
336,"(0.1100827232003212,)"
337,"(0.11003046482801437,)"
338,"(0.1099785789847374,)"
339,"(0.10992711782455444,)"
340,"(0.10987600684165955,)"
341,"(0.10982537269592285,)"
342,"(0.10977514088153839,)"
343,"(0.10972529649734497,)"
344,"(0.10967585444450378,)"
345,"(0.10962691903114319,)"
346,"(0.10957834124565125,)"
347,"(0.10953012108802795,)"
348,"(0.1094823032617569,)"
349,"(0.10943484306335449,)"
350,"(0.10938769578933716,)"
351,"(0.10934080928564072,)"
352,"(0.10929424315690994,)"
353,"(0.1092480719089508,)"
354,"(0.10920224338769913,)"
