medicament,count_diagnosis_0,count_diagnosis_1,total_records,proba_H/M,proba_H/NM
H03AA01,6463,1220,7683,0.84120786151243,0.027348394768133173
J01AA02,1864,338,2202,0.846503178928247,0.007737008135480657
J01AA07,321,31,352,0.9119318181818182,0.0013239133393548707
J01AA08,623,110,733,0.849931787175989,0.002572668596512238
J01CA02,1032,128,1160,0.8896551724137931,0.004268837486349647
J01CA04,15325,2418,17743,0.8637209040184861,0.06737477963061475
J01CE02,7724,1156,8880,0.8698198198198198,0.032859695396919936
J01CF02,1084,161,1245,0.8706827309236947,0.00448489863467108
J01CR02,1934,372,2306,0.8386816999132697,0.00802989412497405
J01DB01,1342,242,1584,0.8472222222222222,0.00555827072340355
J01DB05,777,127,904,0.8595132743362832,0.0032106509315846235
J01DC02,975,126,1101,0.885558583106267,0.00403210798605511
J01DC04,354,32,386,0.917098445595855,0.0014602153198861527
J01DC10,1338,277,1615,0.8284829721362229,0.005541611788971447
J01DD08,726,152,878,0.826879271070615,0.002999281164018541
J01EE01,3096,412,3508,0.8825541619156214,0.012916791829378192
J01FA01,1662,188,1850,0.8983783783783784,0.006892776270933387
J01FA09,4622,759,5381,0.8589481509013195,0.019406958288895795
J01FA10,5731,971,6702,0.855117875261116,0.02417602814560457
J01FF01,3179,586,3765,0.8443559096945551,0.013267669706391769
J01MA01,183,35,218,0.8394495412844036,0.0007543250027823463
J01MA02,5843,1019,6862,0.8515010201107549,0.024660147462870503
J01MA06,416,42,458,0.9082969432314411,0.001716398204383417
J01MA12,494,72,566,0.872791519434629,0.002038879029262454
J01MA14,632,121,753,0.8393094289508632,0.002609930952459612
J01XD01,1082,136,1218,0.8883415435139573,0.004476586871436728
J01XE01,3148,573,3721,0.8460091373286751,0.01313659049558497
J02AC01,3938,707,4645,0.8477933261571582,0.016487611264161844
J05AB01,206,43,249,0.8273092369477911,0.0008492113876773656
J05AB09,367,57,424,0.8655660377358491,0.0015139202283668224
J05AB11,1543,325,1868,0.826017130620985,0.006396093533022993
L02AE01,328,87,415,0.7903614457831325,0.0013528227802157918
L02AE02,125,34,159,0.7861635220125787,0.0005151261647002584
L02BG04,426,89,515,0.8271844660194175,0.0017577302998044216
M01AB01,253,53,306,0.826797385620915,0.0010431656159418795
M01AB05,1265,194,1459,0.8670322138450994,0.00523768316364344
M01AB55,448,69,517,0.8665377176015474,0.0018486729169417669
M01AE01,3717,629,4346,0.8552692130694892,0.015547942626962316
M01AE02,8121,1602,9723,0.8352360382597963,0.034607074826453255
M01AH01,1353,227,1580,0.8563291139240506,0.0056040856393752255
M01AH02,1093,146,1239,0.8821630347054076,0.004522303271532659
M03BC01,162,32,194,0.8350515463917526,0.0006677053193857111
M03BX08,2103,385,2488,0.8452572347266881,0.008737706757076795
N02AA01,896,196,1092,0.8205128205128205,0.0037041936764122237
N02AA03,1348,278,1626,0.8290282902829028,0.005583260160042413
N02AA05,654,143,797,0.820577164366374,0.002701028373187957
N02AB02,380,69,449,0.8463251670378619,0.0015676308971799145
N02AJ06,7208,1159,8367,0.8614796223258038,0.030597344381431045
N02BA01,2077,558,2635,0.788235294117647,0.008628747813732048
N02BE01,2993,571,3564,0.8397867564534232,0.012481702816202443
N02CC01,282,44,326,0.8650306748466258,0.0011628770071999406
N02CC03,253,54,307,0.8241042345276873,0.0010431656159418795
N02CC04,307,52,359,0.8551532033426184,0.0012660994651039067
N03AE01,1982,366,2348,0.84412265758092,0.008230828647602594
N03AF01,292,67,359,0.8133704735376045,0.0012041634363195487
N03AG01,354,87,441,0.8027210884353742,0.0014602153198861527
N03AX09,146,35,181,0.8066298342541437,0.0006017194338891682
N03AX11,156,46,202,0.7722772277227723,0.0006429595924625352
N03AX12,150,41,191,0.7853403141361257,0.000618215089393902
N03AX16,239,59,298,0.802013422818792,0.0009853841555175328
N05AB04,198,39,237,0.8354430379746836,0.0008162053869555539
N05AH03,320,71,391,0.8184143222506394,0.0013197835554968984
N05AH04,1236,305,1541,0.8020765736534717,0.0051169953798002885
N05AN01,195,46,241,0.8091286307053942,0.0008038286979211753
N05AX08,205,41,246,0.8333333333333334,0.0008450855185321071
N05AX12,72,34,106,0.6792452830188679,0.0002966478789676654
N05BA04,752,142,894,0.8411633109619687,0.0031070271699609967
N05BA06,2132,435,2567,0.8305414881184262,0.008859265661619268
N05BA08,237,35,272,0.8713235294117647,0.0009771302056920926
N05BA12,700,124,824,0.8495145631067961,0.002891558302076965
N05BB01,1265,227,1492,0.8478552278820375,0.00523768316364344
N05CD07,266,43,309,0.86084142394822,0.0010968258026208364
N06AA09,1050,187,1237,0.8488278092158448,0.00434361736454119
N06AB03,450,80,530,0.8490566037735849,0.0018569412463789645
N06AB04,2362,541,2903,0.8136410609714089,0.00982439211053897
N06AB05,1996,302,2298,0.8685813751087903,0.008289449640347526
N06AB06,946,173,1119,0.8453976764968723,0.003911709491477766
N06AX05,836,174,1010,0.8277227722772277,0.0034552879131052954
N06AX11,236,60,296,0.7972972972972973,0.0009730032818246285
N06AX12,615,115,730,0.8424657534246576,0.0025395488274717244
N06AX16,2323,508,2831,0.8205581066760862,0.00966061024448871
N06BA04,311,97,408,0.7622549019607843,0.0012826170336491074
N07BA01,2745,553,3298,0.8323226197695573,0.011435641708222415
N07BA03,237,72,309,0.7669902912621359,0.0009771302056920926
P01AB01,2754,502,3256,0.8458230958230958,0.011473565804274466
P01BA01,213,30,243,0.8765432098765432,0.0008780934241933289
R01AD05,234,51,285,0.8210526315789474,0.0009647495361781077
R01AD08,1581,226,1807,0.8749308245711124,0.006554644842725837
R01AD09,3656,740,4396,0.8316651501364877,0.015288882941353586
R01AD11,647,98,745,0.8684563758389262,0.0026720410346208964
R01AD12,378,85,463,0.816414686825054,0.001559367342392515
R03AC02,7455,1389,8844,0.842944369063772,0.03167905358030672
R03AC03,1069,210,1279,0.8358092259577795,0.004422563763109447
R03AC12,232,50,282,0.8226950354609929,0.0009564959266466572
R03AC13,156,35,191,0.8167539267015707,0.0006429595924625352
R03AK06,533,113,646,0.8250773993808049,0.0022001973160069516
R03AK07,337,80,417,0.8081534772182254,0.0013899945142649734
R03BA01,416,51,467,0.8907922912205567,0.001716398204383417
R03BA02,1019,212,1231,0.8277822908204712,0.004214836721609828
R03BA05,5144,953,6097,0.8436936198130228,0.021646187510520113
R03CC02,1257,137,1394,0.9017216642754663,0.0052043870871579575
R03DC03,278,68,346,0.8034682080924855,0.0011463633889470775
R05DA04,917,197,1114,0.8231597845601436,0.003791339868605473
R06AA59,41027,6879,47906,0.8564062956623387,0.20334858270097197
