Epoch,Loss_train
333,"(0.39171352982521057,)"
334,"(0.3916461765766144,)"
335,"(0.39157864451408386,)"
336,"(0.39151084423065186,)"
337,"(0.3914427161216736,)"
338,"(0.3913743495941162,)"
339,"(0.39130571484565735,)"
340,"(0.3912367522716522,)"
341,"(0.391167551279068,)"
342,"(0.39109811186790466,)"
343,"(0.3910284638404846,)"
344,"(0.3909585475921631,)"
345,"(0.39088839292526245,)"
346,"(0.39081794023513794,)"
347,"(0.39074715971946716,)"
348,"(0.3906761705875397,)"
349,"(0.3906048834323883,)"
350,"(0.3905332684516907,)"
351,"(0.3904614746570587,)"
352,"(0.3903893530368805,)"
353,"(0.39031702280044556,)"
354,"(0.39024439454078674,)"
355,"(0.3901712894439697,)"
356,"(0.3900980055332184,)"
357,"(0.39002448320388794,)"
358,"(0.38995057344436646,)"
359,"(0.38987645506858826,)"
360,"(0.38980212807655334,)"
361,"(0.38972747325897217,)"
362,"(0.3896525204181671,)"
363,"(0.38957732915878296,)"
364,"(0.3895018994808197,)"
365,"(0.38942620158195496,)"
366,"(0.38935020565986633,)"
367,"(0.38927388191223145,)"
368,"(0.38919728994369507,)"
369,"(0.3891206383705139,)"
370,"(0.3890436887741089,)"
371,"(0.3889663815498352,)"
372,"(0.3888889253139496,)"
373,"(0.3888111114501953,)"
374,"(0.38873299956321716,)"
375,"(0.388654500246048,)"
376,"(0.3885756731033325,)"
377,"(0.3884965777397156,)"
378,"(0.3884172737598419,)"
379,"(0.3883376121520996,)"
380,"(0.38825756311416626,)"
381,"(0.3881773054599762,)"
382,"(0.3880968391895294,)"
383,"(0.38801607489585876,)"
384,"(0.3879350423812866,)"
385,"(0.38785380125045776,)"
386,"(0.38777226209640503,)"
387,"(0.38769033551216125,)"
388,"(0.3876080811023712,)"
389,"(0.38752561807632446,)"
390,"(0.387442946434021,)"
391,"(0.38735994696617126,)"
392,"(0.38727667927742004,)"
393,"(0.3871932923793793,)"
394,"(0.38710954785346985,)"
395,"(0.3870255947113037,)"
396,"(0.3869413733482361,)"
397,"(0.38685688376426697,)"
398,"(0.3867722451686859,)"
399,"(0.38668733835220337,)"
400,"(0.38660237193107605,)"
401,"(0.38651713728904724,)"
402,"(0.38643166422843933,)"
403,"(0.3863459527492523,)"
404,"(0.38626009225845337,)"
405,"(0.38617411255836487,)"
406,"(0.3860878348350525,)"
407,"(0.3860015571117401,)"
408,"(0.38591501116752625,)"
409,"(0.3858283460140228,)"
410,"(0.3857412338256836,)"
411,"(0.3856540620326996,)"
412,"(0.3855666220188141,)"
413,"(0.3854789733886719,)"
414,"(0.38539114594459534,)"
415,"(0.3853031098842621,)"
416,"(0.38521483540534973,)"
417,"(0.38512635231018066,)"
418,"(0.3850376307964325,)"
419,"(0.3849486708641052,)"
420,"(0.38485953211784363,)"
421,"(0.3847701847553253,)"
422,"(0.3846806287765503,)"
423,"(0.3845910131931305,)"
424,"(0.38450124859809875,)"
425,"(0.38441136479377747,)"
426,"(0.3843211531639099,)"
427,"(0.38423094153404236,)"
428,"(0.38414040207862854,)"
429,"(0.38404956459999084,)"
430,"(0.38395872712135315,)"
431,"(0.3838675618171692,)"
432,"(0.3837762176990509,)"
433,"(0.38368499279022217,)"
434,"(0.38359352946281433,)"
435,"(0.38350191712379456,)"
436,"(0.38341012597084045,)"
437,"(0.38331809639930725,)"
438,"(0.3832259476184845,)"
439,"(0.38313359022140503,)"
440,"(0.38304126262664795,)"
441,"(0.3829488754272461,)"
442,"(0.3828563988208771,)"
443,"(0.3827638328075409,)"
444,"(0.38267117738723755,)"
445,"(0.3825782835483551,)"
446,"(0.3824853301048279,)"
447,"(0.38239213824272156,)"
448,"(0.38229891657829285,)"
449,"(0.38220563530921936,)"
450,"(0.38211244344711304,)"
451,"(0.3820191025733948,)"
452,"(0.3819255232810974,)"
453,"(0.3818320035934448,)"
454,"(0.3817383646965027,)"
455,"(0.38164466619491577,)"
456,"(0.3815508782863617,)"
457,"(0.38145703077316284,)"
458,"(0.38136303424835205,)"
459,"(0.3812689185142517,)"
460,"(0.3811745345592499,)"
461,"(0.3810802400112152,)"
462,"(0.38098567724227905,)"
463,"(0.38089093565940857,)"
464,"(0.3807961046695709,)"
465,"(0.3807012140750885,)"
466,"(0.38060617446899414,)"
467,"(0.3805111050605774,)"
468,"(0.3804158866405487,)"
469,"(0.38032066822052,)"
470,"(0.38022541999816895,)"
471,"(0.3801301419734955,)"
472,"(0.3800347149372101,)"
473,"(0.3799392282962799,)"
474,"(0.3798438608646393,)"
475,"(0.37974852323532104,)"
476,"(0.37965309619903564,)"
477,"(0.3795577585697174,)"
478,"(0.37946248054504395,)"
479,"(0.3793671429157257,)"
480,"(0.37927186489105225,)"
481,"(0.3791765868663788,)"
482,"(0.3790813684463501,)"
483,"(0.3789863586425781,)"
484,"(0.37889131903648376,)"
485,"(0.3787963092327118,)"
486,"(0.3787013590335846,)"
487,"(0.378606379032135,)"
488,"(0.37851133942604065,)"
489,"(0.3784162998199463,)"
490,"(0.37832126021385193,)"
491,"(0.3782261908054352,)"
492,"(0.378131240606308,)"
493,"(0.37803637981414795,)"
494,"(0.3779415488243103,)"
495,"(0.3778465986251831,)"
496,"(0.37775155901908875,)"
497,"(0.3776564300060272,)"
498,"(0.37756142020225525,)"
499,"(0.3774664103984833,)"
500,"(0.3773713707923889,)"
