risk_true,risk_predicted
0.12,0.11979334
0.08,0.11185467
0.24,0.11050257
0.2,0.17574987
0.28,0.3031038
0.16,0.12722358
0.16,0.094352394
0.08,0.13275962
0.04,0.09713417
0.125,0.1110968
0.0,0.12350308
0.125,0.16569515
0.125,0.10612895
0.125,0.1244847
0.041666668,0.08648865
0.25,0.12664193
0.20833333,0.13221844
0.0,0.16692235
0.13043478,0.115529515
0.13043478,0.13763054
0.04347826,0.07939098
0.08695652,0.12356721
0.13043478,0.16166113
0.2173913,0.16442701
0.3043478,0.2702146
0.0,0.15131745
0.17391305,0.17949055
0.0,0.1829399
0.04347826,0.11239595
0.17391305,0.1423906
0.13043478,0.19804677
0.18181819,0.13680895
0.0,0.13603741
0.18181819,0.13969438
0.18181819,0.13095777
0.22727273,0.19751553
0.18181819,0.15527798
0.18181819,0.17117119
0.18181819,0.12502761
0.045454547,0.062296044
0.045454547,0.13315952
0.18181819,0.15962014
0.13636364,0.11567706
0.13636364,0.13095777
0.18181819,0.13393979
0.09090909,0.08933088
0.0,0.11945629
0.045454547,0.11409108
0.0,0.14452396
0.14285715,0.123900265
0.0952381,0.13102426
0.23809524,0.17335889
0.14285715,0.16086753
0.0952381,0.20749669
0.33333334,0.17071624
0.0,0.115154095
0.23809524,0.19402386
0.0952381,0.13366926
0.14285715,0.1262424
0.23809524,0.16877739
0.04761905,0.12592915
0.33333334,0.22292529
0.1904762,0.17733687
0.0,0.080921404
0.0,0.16276051
0.0,0.14285493
0.23809524,0.20588326
0.04761905,0.08938159
0.0,0.08992562
0.1904762,0.13696441
0.0,0.14008632
0.04761905,0.15056841
0.1904762,0.13730152
0.0952381,0.1385507
0.1904762,0.20170255
0.2857143,0.18106464
0.14285715,0.11261266
0.2857143,0.13528459
0.0,0.08279076
0.15,0.10339423
0.2,0.20596288
0.15,0.13670103
0.1,0.11666297
0.2,0.115217246
0.1,0.08881541
0.25,0.25667483
0.15,0.135775
0.05,0.19452387
0.15,0.08649893
0.1,0.16283542
0.2,0.14994866
0.2,0.18959188
0.0,0.16115822
0.4,0.2648239
0.15,0.1567756
0.25,0.12914976
0.1,0.07766771
0.2,0.27806646
0.2,0.15782046
